k,1agent,4agent_coevol,4agent_attempts_only,4agent_no_sharing
118,1.0000004292,0.9989053670,1.0000023070,1.0000055133
119,1.0000004292,0.9989053670,1.0000023070,1.0000055133
120,1.0000004292,0.9989053670,1.0000023070,1.0000055133
121,1.0000004292,0.9989053670,1.0000023070,1.0000055133
122,1.0000004292,0.9989053670,1.0000023070,1.0000055133
123,1.0000004292,0.9989053670,1.0000023070,1.0000055133
124,1.0000004292,0.9989053670,1.0000023070,1.0000055133
125,1.0000004292,0.9989053670,1.0000023070,1.0000055133
126,1.0000004292,0.9989053670,1.0000023070,1.0000055133
127,1.0000004292,0.9989053670,1.0000023070,1.0000055133
128,1.0000004292,0.9989053670,1.0000023070,1.0000055133
129,1.0000004292,0.9989053670,1.0000023070,1.0000055133
130,1.0000004292,0.9989053670,1.0000023070,1.0000055133
131,1.0000004292,0.9999999054,1.0000023070,1.0000055133
132,1.0000004292,0.9999999054,1.0000023070,1.0000055133
133,1.0000004292,0.9999999054,1.0000023070,1.0000055133
134,1.0000004292,0.9999999054,1.0000023070,1.0000055133
135,1.0000004292,0.9999999054,1.0000023070,1.0000055133
136,1.0000004292,0.9999999054,1.0000023070,1.0000055133
137,1.0000004292,0.9999999054,1.0000023070,1.0000055133
138,1.0000004292,0.9999999054,1.0000023070,1.0000055133
139,1.0000004292,0.9999999054,1.0000023070,1.0000055133
140,1.0000004292,0.9999999054,1.0000023070,1.0000055133
141,1.0000004292,0.9999999054,1.0000023070,1.0000055133
142,1.0000004292,0.9999999054,1.0000023070,1.0000055133
143,1.0000004292,0.9999999054,1.0000023070,1.0000055133
144,1.0000004292,0.9999999054,1.0000023070,1.0000055133
145,1.0000004292,0.9999999054,1.0000023070,1.0000055133
146,1.0000004292,0.9999999054,1.0000023070,1.0000055133
147,1.0000004292,0.9999999054,1.0000023070,1.0000055133
148,1.0000004292,0.9999999054,1.0000023070,1.0000055133
149,1.0000004292,0.9999999054,1.0000023070,1.0000055133
150,1.0000004292,0.9999999054,1.0000023070,1.0000055133
151,1.0000004292,0.9999999054,1.0000023070,1.0000055133
152,1.0000004292,0.9999999054,1.0000023070,1.0000055133
153,1.0000004292,0.9999999054,1.0000023070,1.0000055133
154,1.0000004292,0.9999999054,1.0000023070,1.0000055133
155,1.0000004292,0.9999999054,1.0000023070,1.0000055133
156,1.0000004292,0.9999999072,1.0000023070,1.0000055133
157,1.0000004292,0.9999999072,1.0000023070,1.0000055133
158,1.0000004292,0.9999999072,1.0000023070,1.0000055133
159,1.0000004292,0.9999999072,1.0000023070,1.0000055133
160,1.0000004292,0.9999999072,1.0000023070,1.0000055133
161,1.0000004292,0.9999999072,1.0000023070,1.0000055133
162,1.0000004292,0.9999999072,1.0000023070,1.0000055133
163,1.0000004292,0.9999999072,1.0000023070,1.0000055133
164,1.0000004292,0.9999999072,1.0000023070,1.0000055133
165,1.0000004292,0.9999999072,1.0000023070,1.0000055133
166,1.0000004292,0.9999999072,1.0000024132,1.0000055133
167,1.0000004292,0.9999999072,1.0000024132,1.0000055133
168,1.0000004292,0.9999999072,1.0000024132,1.0000055133
169,1.0000004292,0.9999999072,1.0000024132,1.0000055133
170,1.0000004292,0.9999999072,1.0000024132,1.0000055133
171,1.0000004292,0.9999999072,1.0000024132,1.0000055133
172,1.0000004292,0.9999999072,1.0000024132,1.0000055133
173,1.0000004292,0.9999999072,1.0000024132,1.0000055133
174,1.0000004292,0.9999999072,1.0000024132,1.0000055161
175,1.0000004292,0.9999999072,1.0000024132,1.0000055161
176,1.0000004292,0.9999999072,1.0000024132,1.0000055161
177,1.0000004292,0.9999999072,1.0000024132,1.0000055283
178,1.0000004292,0.9999999072,1.0000024132,1.0000055283
179,1.0000004292,0.9999999072,1.0000024132,1.0000055283
180,1.0000004292,0.9999999072,1.0000024132,1.0000055283
181,1.0000004292,0.9999999072,1.0000024198,1.0000055283
182,1.0000004292,0.9999999072,1.0000024198,1.0000055948
183,1.0000004292,0.9999999072,1.0000024198,1.0000055948
184,1.0000004292,0.9999999072,1.0000024198,1.0000055948
185,1.0000004292,0.9999999072,1.0000024198,1.0000055948
186,1.0000004292,0.9999999072,1.0000024198,1.0000055948
187,1.0000004292,0.9999999072,1.0000024198,1.0000055948
188,1.0000004292,0.9999999072,1.0000024198,1.0000055948
189,1.0000004292,0.9999999072,1.0000024198,1.0000055948
190,1.0000004292,0.9999999072,1.0000024198,1.0000055948
191,1.0000004292,0.9999999190,1.0000024198,1.0000055948
192,1.0000004292,0.9999999190,1.0000024198,1.0000055948
193,1.0000004292,0.9999999190,1.0000024198,1.0000055948
194,1.0000004292,0.9999999190,1.0000024198,1.0000055948
195,1.0000004292,0.9999999190,1.0000024198,1.0000055948
196,1.0000004292,0.9999999190,1.0000024198,1.0000055948
197,1.0000004292,0.9999999190,1.0000024198,1.0000055948
198,1.0000004292,0.9999999190,1.0000024198,1.0000055948
199,1.0000004292,0.9999999190,1.0000024198,1.0000055948
200,1.0000004292,0.9999999190,1.0000024198,1.0000055948
201,1.0000004292,0.9999999190,1.0000024198,1.0000055948
202,1.0000004292,0.9999999190,1.0000024198,1.0000055948
203,1.0000004292,0.9999999190,1.0000024198,1.0000055948
204,1.0000004292,0.9999999190,1.0000024198,1.0000055948
205,1.0000004292,0.9999999190,1.0000024198,1.0000055948
206,1.0000004292,0.9999999190,1.0000025117,1.0000055948
207,1.0000004292,0.9999999190,1.0000025117,1.0000055948
208,1.0000004292,0.9999999190,1.0000025117,1.0000055948
209,1.0000004292,0.9999999190,1.0000025117,1.0000055948
210,1.0000004292,0.9999999190,1.0000025117,1.0000055948
211,1.0000004292,0.9999999190,1.0000025117,1.0000055948
212,1.0000004292,0.9999999190,1.0000025117,1.0000055948
213,1.0000004292,0.9999999190,1.0000025117,1.0000055948
214,1.0000004292,0.9999999190,1.0000025117,1.0000055948
215,1.0000004292,0.9999999190,1.0000025117,1.0000055948
216,1.0000004292,0.9999999190,1.0000025117,1.0000055948
217,1.0000004292,0.9999999190,1.0000025117,1.0000055948
218,1.0000004292,0.9999999190,1.0000025117,1.0000055948
219,1.0000004292,0.9999999190,1.0000025117,1.0000055948
220,1.0000004292,0.9999999190,1.0000025117,1.0000055948
221,1.0000004292,0.9999999190,1.0000025117,1.0000055948
222,1.0000004292,0.9999999190,1.0000025117,1.0000055948
223,1.0000004292,0.9999999190,1.0000025117,1.0000055948
224,1.0000004292,0.9999999190,1.0000025117,1.0000055948
225,1.0000004292,0.9999999190,1.0000025117,1.0000055948
226,1.0000004292,0.9999999190,1.0000025117,1.0000055948
227,1.0000004292,0.9999999190,1.0000025117,1.0000055948
228,1.0000004292,0.9999999190,1.0000025117,1.0000055948
229,1.0000004292,0.9999999190,1.0000025117,1.0000055948
230,1.0000004292,0.9999999190,1.0000025117,1.0000055948
