k,1agent,4agent_coevol,4agent_attempts_only,4agent_no_sharing
85,0.7303095063,0.7135118355,0.7071061453,0.7417132444
86,0.7303095063,0.7151946768,0.7071061453,0.7417132444
87,0.7303095063,0.7151946768,0.7071061453,0.7417132444
88,0.7303095063,0.7151946768,0.7071061453,0.7417132444
89,0.7303095063,0.7151946768,0.7071061453,0.7417132444
90,0.7303095063,0.7151946768,0.7071061453,0.7417132444
91,0.7303095063,0.7268205678,0.7074086465,0.7417132444
92,0.7303095063,0.7268205678,0.7074086465,0.7417132444
93,0.7303095063,0.7268205678,0.7074086465,0.7417132444
94,0.7303095063,0.7268205678,0.7074086465,0.7417132444
95,0.7303095063,0.7268205678,0.7074086465,0.7417132444
96,0.7303095063,0.7268205678,0.7074086465,0.7417132444
97,0.7303095063,0.7268205678,0.7074086465,0.7417132444
98,0.7303095063,0.7268205678,0.7074086465,0.7417132444
99,0.7303095063,0.7268205678,0.7074086465,0.7417132444
100,0.7303095063,0.7268205678,0.7074086465,0.7417132444
101,0.7303095063,0.7282460376,0.7079694504,0.7417132444
102,0.7303095063,0.7282460376,0.7079694504,0.7417132444
103,0.7303095063,0.7282460376,0.7079694504,0.7417132444
104,0.7303095063,0.7282460376,0.7079694504,0.7417132444
105,0.7303095063,0.7282460376,0.7079694504,0.7417132444
106,0.7303095063,0.7282460376,0.7079694504,0.7417132444
107,0.7303095063,0.7282460376,0.7079694504,0.7417132444
108,0.7303095063,0.7282460376,0.7079694504,0.7417132444
109,0.7303095063,0.7282460376,0.7079694504,0.7417132444
110,0.7303095063,0.7282460376,0.7079694504,0.7417132444
111,0.7303095063,0.7293238318,0.7079694504,0.7417132444
112,0.7303095063,0.7293238318,0.7079694504,0.7417132444
113,0.7303095063,0.7293238318,0.7079694504,0.7417132444
114,0.7303095063,0.7293238318,0.7079694504,0.7417132444
115,0.7303095063,0.7293238318,0.7079694504,0.7417132444
116,0.7303095063,0.7293238318,0.7079694504,0.7417132444
117,0.7303095063,0.7293238318,0.7079694504,0.7417132444
118,0.7303095063,0.7293238318,0.7079694504,0.7417132444
119,0.7303095063,0.7293238318,0.7079694504,0.7417132444
120,0.7303095063,0.7293238318,0.7079694504,0.7417132444
121,0.7303095063,0.7293238318,0.7079694504,0.7417132444
122,0.7303095063,0.7293238318,0.7079694504,0.7417132444
123,0.7303095063,0.7293238318,0.7079694504,0.7417132444
124,0.7303095063,0.7293238318,0.7079694504,0.7417132444
125,0.7303095063,0.7293238318,0.7079694504,0.7417132444
126,0.7303095063,0.7293238318,0.7084756121,0.7417132444
127,0.7303095063,0.7293238318,0.7084756121,0.7417132444
128,0.7303095063,0.7293238318,0.7084756121,0.7417132444
129,0.7303095063,0.7293238318,0.7084756121,0.7417132444
130,0.7303095063,0.7293238318,0.7084756121,0.7417132444
131,0.7303095063,0.7293238318,0.7084756121,0.7417132444
132,0.7303095063,0.7293238318,0.7084756121,0.7417132444
133,0.7303095063,0.7293238318,0.7084756121,0.7417132444
134,0.7303095063,0.7293238318,0.7084756121,0.7417132444
135,0.7303095063,0.7293238318,0.7084756121,0.7417132444
136,0.7303095063,0.7293238318,0.7084756121,0.7417132444
137,0.7303095063,0.7293238318,0.7084756121,0.7417132444
138,0.7303095063,0.7293238318,0.7084756121,0.7417132444
139,0.7303095063,0.7293238318,0.7084756121,0.7417132444
140,0.7303095063,0.7293238318,0.7084756121,0.7417132444
141,0.7303095063,0.7293238318,0.7091905222,0.7417132444
142,0.7303095063,0.7293238318,0.7091905222,0.7417132444
143,0.7303095063,0.7293238318,0.7091905222,0.7417132444
144,0.7303095063,0.7293238318,0.7091905222,0.7417132444
145,0.7303095063,0.7293238318,0.7091905222,0.7417132444
146,0.7303095063,0.7293238318,0.7093292134,0.7417132444
147,0.7303095063,0.7293238318,0.7093292134,0.7417132444
148,0.7303095063,0.7293238318,0.7093292134,0.7417132444
149,0.7303095063,0.7293238318,0.7093292134,0.7417132444
150,0.7303095063,0.7293238318,0.7093292134,0.7417132444
151,0.7303095063,0.7293238318,0.7093292134,0.7417132444
152,0.7303095063,0.7293238318,0.7093292134,0.7417132444
153,0.7303095063,0.7293238318,0.7093292134,0.7417132444
154,0.7303095063,0.7293238318,0.7093292134,0.7417132444
155,0.7303095063,0.7293238318,0.7093292134,0.7417132444
156,0.7303095063,0.7293238318,0.7093292134,0.7417132444
157,0.7303095063,0.7293238318,0.7093292134,0.7417132444
158,0.7303095063,0.7293238318,0.7093292134,0.7417132444
159,0.7303095063,0.7293238318,0.7093292134,0.7417132444
160,0.7303095063,0.7293238318,0.7093292134,0.7417132444
161,0.7303095063,0.7293238318,0.7093292134,0.7417132444
162,0.7303095063,0.7293238318,0.7093292134,0.7417132444
163,0.7303095063,0.7293238318,0.7093292134,0.7417132444
164,0.7303095063,0.7293238318,0.7093292134,0.7417132444
165,0.7303095063,0.7293238318,0.7093292134,0.7417132444
166,0.7303095063,0.7293238318,0.7108265254,0.7417132444
167,0.7303095063,0.7293238318,0.7108265254,0.7417132444
168,0.7303095063,0.7293238318,0.7108265254,0.7417132444
169,0.7303095063,0.7293238318,0.7108265254,0.7417132444
170,0.7303095063,0.7293238318,0.7108265254,0.7417132444
171,0.7303095063,0.7293238318,0.7109362229,0.7417132444
172,0.7303095063,0.7293238318,0.7109362229,0.7417132444
173,0.7303095063,0.7293238318,0.7109362229,0.7417132444
174,0.7303095063,0.7293238318,0.7109362229,0.7417132444
175,0.7303095063,0.7293238318,0.7109362229,0.7417132444
