k,1agent,4agent_coevol,4agent_attempts_only,4agent_no_sharing
112,1.0001252691,0.9996714316,0.9990382470,1.0001280968
113,1.0001252691,0.9996714316,0.9990382470,1.0001280968
114,1.0001252691,0.9996714316,0.9990382470,1.0001280968
115,1.0001252691,0.9996714316,0.9990382470,1.0001280968
116,1.0001252691,0.9996714316,0.9990387319,1.0001342905
117,1.0001252691,0.9996714316,0.9990387319,1.0001342905
118,1.0001252691,0.9996714316,0.9990387319,1.0001342905
119,1.0001252691,0.9996714316,0.9990387319,1.0001342905
120,1.0001252691,0.9996714316,0.9990387319,1.0001342905
121,1.0001252691,0.9996714316,0.9990387319,1.0001342905
122,1.0001252691,0.9996714316,0.9990387319,1.0001342905
123,1.0001252691,0.9996714316,0.9990387319,1.0001342905
124,1.0001252691,0.9996714316,0.9990387319,1.0001342905
125,1.0001252691,0.9996714316,0.9990387319,1.0001342905
126,1.0001252691,0.9996714316,0.9990393584,1.0001342905
127,1.0001252691,0.9996714316,0.9990393584,1.0001342905
128,1.0001252691,0.9996714316,0.9990393584,1.0001342905
129,1.0001252691,0.9996714316,0.9990393584,1.0001342905
130,1.0001252691,0.9996714316,0.9990393584,1.0001342905
131,1.0001252691,0.9997546577,0.9990393584,1.0001342905
132,1.0001252691,0.9997546577,0.9990393584,1.0001342905
133,1.0001252691,0.9997546577,0.9990393584,1.0001342905
134,1.0001252691,0.9997546577,0.9990393584,1.0001342905
135,1.0001252691,0.9997546577,0.9990393584,1.0001342905
136,1.0001252691,0.9997546577,0.9990395164,1.0001342905
137,1.0001252691,0.9997546577,0.9990395164,1.0001342905
138,1.0001252691,0.9997546577,0.9990395164,1.0001342905
139,1.0001252691,0.9997546577,0.9990395164,1.0001342905
140,1.0001252691,0.9997546577,0.9990395164,1.0001342905
141,1.0001252691,0.9997546577,0.9990395197,1.0001342905
142,1.0001252691,0.9997546577,0.9990395197,1.0001342905
143,1.0001252691,0.9997546577,0.9990395197,1.0001342905
144,1.0001252691,0.9997546577,0.9990395197,1.0001342905
145,1.0001252691,0.9997546577,0.9990395197,1.0001342905
146,1.0001252691,0.9997546577,0.9990395688,1.0001342905
147,1.0001252691,0.9997546577,0.9990395688,1.0001342905
148,1.0001252691,0.9997546577,0.9990395688,1.0001342905
149,1.0001252691,0.9997546577,0.9990395688,1.0001342905
150,1.0001252691,0.9997546577,0.9990395688,1.0001356825
151,1.0001252691,0.9997546577,0.9990395721,1.0001356825
152,1.0001252691,0.9997546577,0.9990395721,1.0001364757
153,1.0001252691,0.9997546577,0.9990395721,1.0001364757
154,1.0001252691,0.9997546577,0.9990395721,1.0001364757
155,1.0001252691,0.9997546577,0.9990395721,1.0001369122
156,1.0001252691,0.9997546577,0.9990395857,1.0001369122
157,1.0001252691,0.9997546577,0.9990395857,1.0001369122
158,1.0001252691,0.9997546577,0.9990395857,1.0001370025
159,1.0001252691,0.9997546577,0.9990395857,1.0001370025
160,1.0001252691,0.9997546577,0.9990395857,1.0001370025
161,1.0001252691,0.9997546577,0.9990395857,1.0001370025
162,1.0001252691,0.9997546577,0.9990395857,1.0001370094
163,1.0001252691,0.9997546577,0.9990395857,1.0001370094
164,1.0001252691,0.9997546577,0.9990395857,1.0001370094
165,1.0001252691,0.9997546577,0.9990395857,1.0001370094
166,1.0001252691,0.9997546577,0.9990395857,1.0001370094
167,1.0001252691,0.9997546577,0.9990395857,1.0001370094
168,1.0001252691,0.9997546577,0.9990395857,1.0001370469
169,1.0001252691,0.9997546577,0.9990395857,1.0001370469
170,1.0001252691,0.9997546577,0.9990395857,1.0001370469
171,1.0001252691,0.9997546577,0.9990395857,1.0001370469
172,1.0001252691,0.9997546577,0.9990395857,1.0001370469
173,1.0001252691,0.9997546577,0.9990395857,1.0001370469
174,1.0001252691,0.9997546577,0.9990395857,1.0001370480
175,1.0001252691,0.9997546577,0.9990395857,1.0001370480
176,1.0001252691,0.9997546577,0.9990395857,1.0001370480
177,1.0001252691,0.9997546577,0.9990395857,1.0001371339
178,1.0001252691,0.9997546577,0.9990395857,1.0001371339
179,1.0001252691,0.9997546577,0.9990395857,1.0001371339
180,1.0001252691,0.9997546577,0.9990395857,1.0001371339
181,1.0001252691,0.9997546577,0.9990395857,1.0001371339
182,1.0001252691,0.9997546577,0.9990395857,1.0001371339
183,1.0001252691,0.9997546577,0.9990395857,1.0001371339
184,1.0001252691,0.9997546577,0.9990395857,1.0001371339
185,1.0001252691,0.9997546577,0.9990395857,1.0001371339
186,1.0001252691,0.9997546577,0.9990395857,1.0001371339
187,1.0001252691,0.9997546577,0.9990395857,1.0001371339
188,1.0001252691,0.9997546577,0.9990395857,1.0001371339
189,1.0001252691,0.9997546577,0.9990395857,1.0001371339
190,1.0001252691,0.9997546577,0.9990395857,1.0001371339
191,1.0001252691,0.9997546577,0.9990395857,1.0001371339
192,1.0001252691,0.9997546577,0.9990395857,1.0001371339
193,1.0001252691,0.9997546577,0.9990395857,1.0001371339
194,1.0001252691,0.9997546577,0.9990395857,1.0001371339
195,1.0001252691,0.9997546577,0.9990395857,1.0001371339
196,1.0001252691,0.9997546577,0.9990395857,1.0001371339
197,1.0001252691,0.9997546577,0.9990395857,1.0001371339
198,1.0001252691,0.9997546577,0.9990395857,1.0001371339
199,1.0001252691,0.9997546577,0.9990395857,1.0001371339
200,1.0001252691,0.9997546577,0.9990395857,1.0001371339
201,1.0001252691,0.9997546577,0.9990395857,1.0001371339
202,1.0001252691,0.9997546577,0.9990395857,1.0001371339
203,1.0001252691,0.9997546577,0.9990395857,1.0001371339
204,1.0001252691,0.9997546577,0.9990395857,1.0001371339
205,1.0001252691,0.9997546577,0.9990395857,1.0001371339
206,1.0001252691,0.9997546577,0.9990395857,1.0001371339
207,1.0001252691,0.9997546577,0.9990395857,1.0001371339
208,1.0001252691,0.9997546577,0.9990395857,1.0001371339
209,1.0001252691,0.9997546577,0.9990395857,1.0001371339
210,1.0001252691,0.9997546577,0.9990395857,1.0001371339
211,1.0001252691,0.9997546577,0.9990395857,1.0001371339
212,1.0001252691,0.9997546577,0.9990395857,1.0001371339
213,1.0001252691,0.9997546577,0.9990395857,1.0001371339
214,1.0001252691,0.9997546577,0.9990395857,1.0001371339
215,1.0001252691,0.9997546577,0.9990395857,1.0001371339
216,1.0001252691,0.9997546577,0.9990395857,1.0001371339
217,1.0001252691,0.9997546577,0.9990395857,1.0001371339
218,1.0001252691,0.9997546577,0.9990395857,1.0001371339
219,1.0001252691,0.9997546577,0.9990395857,1.0001371339
220,1.0001252691,0.9997546577,0.9990395857,1.0001371339
221,1.0001252691,0.9997546577,0.9990395857,1.0001371339
222,1.0001252691,0.9997546577,0.9990395857,1.0001371339
223,1.0001252691,0.9997546577,0.9990395857,1.0001371339
224,1.0001252691,0.9997546577,0.9990395857,1.0001371339
225,1.0001252691,0.9997546577,0.9990395857,1.0001371339
226,1.0001252691,0.9997546577,0.9990395857,1.0001371339
227,1.0001252691,0.9997546577,0.9990395857,1.0001371339
228,1.0001252691,0.9997546577,0.9990395857,1.0001371339
229,1.0001252691,0.9997546577,0.9990395857,1.0001371339
230,1.0001252691,0.9997546577,0.9990395857,1.0001371339
231,1.0001252691,0.9997577572,0.9990395857,1.0001371339
232,1.0001252691,0.9997577572,0.9990395857,1.0001371339
233,1.0001252691,0.9997577572,0.9990395857,1.0001371339
234,1.0001252691,0.9997577572,0.9990395857,1.0001371339
235,1.0001252691,0.9997577572,0.9990395857,1.0001371339
236,1.0001252691,0.9997577572,0.9990395857,1.0001371339
237,1.0001252691,0.9997577572,0.9990395857,1.0001371339
238,1.0001252691,0.9997577572,0.9990395857,1.0001371339
239,1.0001252691,0.9997577572,0.9990395857,1.0001371339
240,1.0001252691,0.9997577572,0.9990395857,1.0001371339
241,1.0001252691,0.9997577572,0.9990395857,1.0001371339
242,1.0001252691,0.9997577572,0.9990395857,1.0001371339
243,1.0001252691,0.9997577572,0.9990395857,1.0001371339
244,1.0001252691,0.9997577572,0.9990395857,1.0001371339
245,1.0001252691,0.9997577572,0.9990395857,1.0001371339
246,1.0001252691,0.9997577572,0.9990395857,1.0001371339
247,1.0001252691,0.9997577572,0.9990395857,1.0001371339
248,1.0001252691,0.9997577572,0.9990395857,1.0001371339
249,1.0001252691,0.9997577572,0.9990395857,1.0001371339
250,1.0001252691,0.9997577572,0.9990395857,1.0001371339
